appendicularia 	thermocline 	halocline 	pycnocline 	chloroMax 	mixedDepth 	temperature 	salinity 	density 	fluorimetry 	windSpeed 	distance 	currentSpeed
1596 	81 	67 	69 	97 	62 	28,6109491359447 	35,8269448348694 	22,8197969854071 	0,053596643625192 	262,637426900585 	23473,1899366472 	20,2932798867252
2344 	87 	87 	87 	95 	59 	28,6681821630347 	35,8432548627926 	22,8128843018563 	0,0609781355932203 	320,567993366501 	20736,8726820956 	36,0703240859701
2785 	94 	67 	81 	102 	66 	28,5698454945055 	35,8258992307692 	22,8328371428571 	0,0536800586080586 	345,352459016394 	23446,3436164324 	20,2395939730426
2404 	89 	22 	89 	97 	69 	28,6143115596963 	35,8604591442374 	22,8441056763285 	0,0544459454796411 	378,116666666667 	20736,8726820956 	28,4456696220512
1541 	74 	89 	74 	97 	63 	28,5866064751827 	35,8854156210632 	22,8723559775762 	0,0533224792139078 	344,795589482612 	20736,8726820956 	22,6578452495248
2458 	75 	78 	76 	108 	69 	28,581200122549 	35,8846765231092 	22,8733323529412 	0,0636786729691877 	290,720930232558 	23425,4940893305 	22,0430657422728
725 	81 	83 	81 	99 	63 	28,5692032142857 	35,8810344047619 	22,8744091468254 	0,0557010436507937 	378,64964964965 	28970,3639137174 	13,042680212771
1773 	63 	63 	63 	104 	61 	28,5756945875618 	35,8426295212074 	22,8431815508717 	0,0541555581576893 	319,045808966862 	20825,6090385072 	6,79944028776357
1502 	91 	66 	91 	99 	63 	28,5610961829176 	35,8602114890401 	22,8613239984883 	0,0551542328042328 	334,624872579001 	12019,0556692955 	15,6029474467447
1519 	71 	67 	71 	96 	62 	28,546652937788 	35,846747311828 	22,856001344086 	0,0565663671274962 	380,405708460755 	4964,54795978779 	8,44512545528183
640 	65 	65 	65 	90 	60 	28,5666451775625 	35,84473791364 	22,8477486682809 	0,0559797820823245 	299,860860860861 	4964,54795978779 	24,7891527418293
1787 	67 	48 	67 	104 	55 	28,5477056349206 	35,8515093650794 	22,858936024531 	0,0556135093795094 	420,12962962963 	11978,2989183013 	14,0938519995998
1419 	72 	66 	71 	98 	65 	28,5329924665179 	35,7838426897321 	22,8133736421131 	0,0560681770833333 	441,768959435626 	20838,5522373794 	18,0022356342209
974 	85 	49 	67 	93 	55 	28,5146367316017 	35,7977895021645 	22,829453459268 	0,054437365210547 	208,095095095095 	20841,9320969724 	7,23611683057634
1341 	65 	64 	64 	95 	52 	28,4953791666667 	35,8265692765568 	22,8573409798535 	0,055998021978022 	235,358333333333 	12016,8631627029 	5,41705200578798
1084 	56 	59 	57 	90 	54 	28,583338712522 	35,8604475088183 	22,8537522266314 	0,0557928571428571 	149,721072796935 	12016,8631627029 	12,3814825755087
2978 	72 	63 	65 	104 	64 	28,5104644965278 	35,7815434461806 	22,8190166790675 	0,0546122507440476 	156,927170868347 	16227,2328045407 	18,2921209138261
1351 	88 	56 	57 	95 	55 	28,5636922871573 	35,8653644227994 	22,8639234559885 	0,0556370346320346 	196,071278825996 	23543,5152576715 	10,3710473333274
805 	55 	53 	54 	95 	52 	28,5326614774115 	35,8014233287546 	22,8260920253358 	0,0547281166056166 	256,786252354049 	29010,1491420918 	21,4817722353453
2260 	58 	44 	58 	89 	47 	28,521754517055 	35,765417055049 	22,8024470618034 	0,0580650574130361 	266,491491491492 	23462,525272726 	11,3363004602977
1323 	61 	62 	61 	105 	59 	28,5338508291144 	35,7910140545895 	22,8181823299582 	0,0544489089441632 	229,081671415005 	20773,0852548489 	15,2997952419262
812 	81 	83 	82 	89 	59 	28,7163732262088 	35,9382407109839 	22,8682760877541 	0,0579036172866681 	347,563685636856 	20736,8726820956 	21,4733007158303
